"Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"9/7/22 06:35","Miramar","FL","USA","Oval","A split second","at a red light","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171645.html","431X2022.11.14.18.04.39",FALSE
"9/7/22 06:35","Ft Lauderdale","FL","USA","Circle","A split second","Huge ufo craft above","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171647.html","432X2022.11.14.18.04.39",FALSE
"9/7/22 05:50","Mount Maunganui","Bay of Plenty Region","New Zealand","Light","16 seconds","8 quarter sized orange/white balls of light, one at a time appeared in 2 second intervals between them, one at a time.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172081.html","433X2022.11.14.18.04.39",FALSE
"9/7/22 03:30","Tehachapi","CA","USA","Triangle","From 3:30 am to 530 am","I saw what I thought was a very bright and close airplane but it was not moving.","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171928.html","434X2022.11.14.18.04.39",FALSE
"9/6/22 21:30","Rogersville","TN","USA","Light","10min","we have 10min video but i cant send it says to big (33mb), i downloaded to laptop from phone on itunes","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171689.html","435X2022.11.14.18.04.39",FALSE
"9/6/22 20:11","Chokio","MN","USA","Light","5-7 mins","Fireball looking thing appeared on the west sky","10/8/22","Yes","https://www.nuforc.org/webreports/reports/171/S171625.html","436X2022.11.14.18.04.39",FALSE
"9/6/22 19:51","Arches National Park","UT","","Other","15 minutes","I filmed a white comet shaped object moving very slowly in the sky","10/8/22","Yes","https://www.nuforc.org/webreports/reports/172/S172123.html","437X2022.11.14.18.04.39",FALSE
"9/6/22 19:44","Huntington Beach","CA","USA","Light","2 minutes","Sitting in my back yard and noticed a light coming out of the clouds.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171707.html","438X2022.11.14.18.04.39",FALSE
"9/6/22 19:42","Santa Moinca","CA","USA","Diamond","8 seconds","4 white lights in a diamond shape, expanded, contracted and flew towards the ocean.","10/8/22","","https://www.nuforc.org/webreports/reports/171/S171654.html","439X2022.11.14.18.04.39",FALSE
"9/6/22 02:36","Rocklin","CA","USA","Rectangle","2 minutes","Object changed from half Oval to Rectangle.","10/8/22","","https://www.nuforc.org/webreports/reports/172/S172161.html","440X2022.11.14.18.04.39",FALSE
