"","Date/Time","City","State","Country","Shape","Duration","Summary","Posted","Image","URL","ID","madar"
"1238","9/25/21 12:00","Hecla Island (Canada)","Manitoba","Canada","Circle","1.5 hours","Circular flying objects at Winnipeg lake, between Hecla Island and Black Island","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166911.html","855X2022.04.30.18.48.21",FALSE
"1239","9/23/21 22:43","Jackson","KY","USA",NA,"Four or five minutes","Standing in the backyard of my house looking up stargazing","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166855.html","856X2022.04.30.18.48.21",FALSE
"1240","9/20/21 03:45","Corcoran","CA","USA","Fireball","5 mins","Orange UFO","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166642.html","857X2022.04.30.18.48.21",FALSE
"1241","9/18/21 19:32","Huntington","NY","USA","Circle","15-30 seconds in view","Looked up in the sky saw a small round object <U+0093>floating<U+0094>","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166078.html","858X2022.04.30.18.48.21",FALSE
"1242","9/18/21 16:00","Hampden","MA","USA","Rectangle","30 seconds to a minite","Shiny, glinting, amazig maneuvers","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166602.html","859X2022.04.30.18.48.21",FALSE
"1243","9/16/21 21:00","Adelaide (Australia)","South Australia","Australia","Cigar","~3 minutes","A long line of 5 or 6 white lights moving very slow and low altitude.  ((Starlink satellites?))","3/4/22",NA,"https://www.nuforc.org/webreports/reports/166/S166557.html","860X2022.04.30.18.48.21",FALSE
"1244","9/16/21 19:45","Roseville","MI","USA","Circle","5-10 minutes","While stopped at red light, we observed 4 bright white round objects in the western sky that seemed to be hovering. ((Contrails?))","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166249.html","861X2022.04.30.18.48.21",FALSE
"1245","9/9/21 00:01","Unkone","WA","USA","Other","Seconds","I have pics of a craft that is miles big and a craft come out of the bigger one a clear clean pictur","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166594.html","862X2022.04.30.18.48.21",FALSE
"1246","9/7/21 19:45","Papillion","NE","USA","Cylinder","2 min","There were lights moving weird on the horizon. When my brother and I get home we see a tik tak shaped object hovering over our house.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166119.html","863X2022.04.30.18.48.21",FALSE
"1247","9/3/21 19:00","Chicago","IL","USA","Oval","Few minutes","Cluster of ufos seen over a river tour in Chicago.","3/4/22","Yes","https://www.nuforc.org/webreports/reports/166/S166202.html","864X2022.04.30.18.48.21",FALSE
